DATE,ECBASSETSW
2009-09-01,1801293.750000000000
2009-10-01,1802763.800000000000
2009-11-01,1763488.000000000000
2009-12-01,1799696.500000000000
2010-01-01,1880625.600000000000
2010-02-01,1879768.750000000000
2010-03-01,1890404.500000000000
2010-04-01,1943854.000000000000
2010-05-01,2051150.500000000000
2010-06-01,2121154.750000000000
2010-07-01,2007363.800000000000
2010-08-01,1957995.500000000000
2010-09-01,1969579.000000000000
2010-10-01,1876885.000000000000
2010-11-01,1892420.250000000000
2010-12-01,1950321.800000000000
2011-01-01,1962432.750000000000
2011-02-01,1970627.750000000000
2011-03-01,1940167.500000000000
2011-04-01,1885721.400000000000
2011-05-01,1899248.750000000000
2011-06-01,1919570.000000000000
2011-07-01,1965562.000000000000
2011-08-01,2056399.000000000000
2011-09-01,2152570.600000000000
2011-10-01,2313283.000000000000
2011-11-01,2371249.500000000000
2011-12-01,2571834.000000000000
2012-01-01,2688407.750000000000
2012-02-01,2668442.250000000000
2012-03-01,2992502.200000000000
2012-04-01,2967351.000000000000
2012-05-01,2971850.750000000000
2012-06-01,3039940.200000000000
2012-07-01,3089636.250000000000
2012-08-01,3084620.400000000000
2012-09-01,3066619.250000000000
2012-10-01,3052335.500000000000
2012-11-01,3037888.600000000000
2012-12-01,3021158.000000000000
2013-01-01,2944922.250000000000
2013-02-01,2760453.500000000000
2013-03-01,2657047.200000000000
2013-04-01,2627516.500000000000
2013-05-01,2580290.800000000000
2013-06-01,2518257.000000000000
2013-07-01,2404705.000000000000
2013-08-01,2372080.800000000000
2013-09-01,2347859.250000000000
2013-10-01,2334426.750000000000
2013-11-01,2300679.600000000000
2013-12-01,2284186.000000000000
2014-01-01,2227056.800000000000
2014-02-01,2186591.000000000000
2014-03-01,2164569.500000000000
2014-04-01,2166732.500000000000
2014-05-01,2186135.400000000000
2014-06-01,2116167.750000000000
2014-07-01,2058540.500000000000
2014-08-01,2031970.400000000000
2014-09-01,2010580.000000000000
2014-10-01,2042186.200000000000
2014-11-01,2036237.500000000000
2014-12-01,2089471.500000000000
2015-01-01,2176957.600000000000
2015-02-01,2156741.750000000000
2015-03-01,2171394.250000000000
2015-04-01,2346985.250000000000
2015-05-01,2391650.600000000000
2015-06-01,2465478.750000000000
2015-07-01,2517184.200000000000
2015-08-01,2546653.750000000000
2015-09-01,2594634.000000000000
2015-10-01,2643584.200000000000
2015-11-01,2687615.000000000000
2015-12-01,2744414.000000000000
2016-01-01,2785831.400000000000
2016-02-01,2831847.500000000000
2016-03-01,2879014.000000000000
2016-04-01,2968989.200000000000
2016-05-01,3043052.750000000000
2016-06-01,3103290.250000000000
2016-07-01,3253972.400000000000
2016-08-01,3306629.250000000000
2016-09-01,3380487.400000000000
2016-10-01,3480759.250000000000
2016-11-01,3543076.000000000000
2016-12-01,3635298.800000000000
2017-01-01,3707582.500000000000
2017-02-01,3779144.000000000000
2017-03-01,3898975.200000000000
2017-04-01,4133444.750000000000
2017-05-01,4177198.000000000000
2017-06-01,4222254.600000000000
2017-07-01,4232005.000000000000
2017-08-01,4261758.500000000000
2017-09-01,4307842.600000000000
2017-10-01,4360984.250000000000
2017-11-01,4400067.500000000000
2017-12-01,4465614.600000000000
2018-01-01,4478950.250000000000
2018-02-01,4500286.000000000000
2018-03-01,4530147.200000000000
2018-04-01,4544491.750000000000
2018-05-01,4559713.250000000000
2018-06-01,4580302.400000000000
2018-07-01,4602025.500000000000
2018-08-01,4613038.000000000000
2018-09-01,4634604.750000000000
2018-10-01,4627752.000000000000
2018-11-01,4638775.600000000000
2018-12-01,4668755.750000000000
2019-01-01,4703137.500000000000
2019-02-01,4696705.000000000000
2019-03-01,4686196.200000000000
2019-04-01,4701744.500000000000
2019-05-01,4686547.600000000000
2019-06-01,4686771.500000000000
2019-07-01,4683934.250000000000
2019-08-01,4679544.600000000000
2019-09-01,4664330.500000000000
2019-10-01,4688840.250000000000
2019-11-01,4689426.800000000000
2019-12-01,4699359.750000000000
2020-01-01,4665176.600000000000
2020-02-01,4682194.750000000000
2020-03-01,4849101.750000000000
2020-04-01,5271820.000000000000
2020-05-01,5500610.400000000000
2020-06-01,5789552.500000000000
2020-07-01,6326595.800000000000
2020-08-01,6413562.000000000000
2020-09-01,6492676.500000000000
2020-10-01,6724778.000000000000
