Date,date_match,i,USD,EUR,u,m3,core_i_yoy,pmi
2009_10,2009-10,7,181.21624755859375,268.489990234375,10.321476936340332,94.15515899658203,4.933008670806885,55.70000076293945
2009_11,2009-11,6.5,181.65481567382812,270.9200134277344,10.454816818237305,94.685699462890625,4.99390983581543,53.599998474121094
2009_12,2009-12,6.25,186.9577178955078,273.2200012207031,10.404163360595703,97.8093032836914,4.838709831237793,55.900001525878906
2010_1,2010-01,6,188.7822265625,269.42999267578125,10.863192558288574,106.3773422241211,5.095541477203369,58.400001525878906
2010_2,2010-02,5.75,198.166015625,271.2099914550781,11.36760425567627,110.40654754638672,4.754693984985352,56.5
2010_3,2010-03,5.5,195.5928955078125,265.3999938964844,11.838647842407227,110.50697326660156,4.6441497802734375,59.599998474121094
2010_4,2010-04,5.25,198.06802368164062,265.5299987792969,11.776488304138184,113.03541564941406,4.282719612121582,60.400001525878906
2010_5,2010-05,5.25,220.27854919433594,276.7799987792969,11.484945297241211,111.90160369873047,3.9355993270874023,59.70000076293945
2010_6,2010-06,5.25,230.55941772460937,281.489990234375,11.209207534790039,107.62193298339844,3.479036569595337,56.20000076293945
2010_7,2010-07,5.25,222.20046997070312,283.75,11.022656440734863,103.36847686767578,1.3096623420715332,55.5
2010_8,2010-08,5.25,218.27981567382812,281.45001220703125,10.954805374145508,97.0302734375,1.4547570943832397,56.29999923706055
2010_9,2010-09,5.25,215.88734436035156,282.1000061035156,10.844457626342773,92.24787902832031,1.4534883499145508,54.400001525878906
2010_10,2010-10,5.25,197.15786743164062,274.010009765625,10.813117980957031,96.66619873046875,1.799187421798706,56.900001525878906
2010_11,2010-11,5.5,201.67630004882813,275.510009765625,10.729354858398438,97.27933502197266,1.9141530990600586,56.599998474121094
2010_12,2010-12,5.75,210,277.6199951171875,10.802586555480957,94.88475799560547,2.031930446624756,57
2011_1,2011-01,6,206.0853271484375,275.3299865722656,11.184406280517578,102.18465423583984,1.5873016119003296,60.79999923706055
2011_2,2011-02,6,198.65924072265625,271.1499938964844,11.642809867858887,103.3023452758789,1.8213356733322144,61.400001525878906
2011_3,2011-03,6,193.50668334960937,270.8900146484375,11.79405403137207,99.4229965209961,2.4495677947998047,61.20000076293945
2011_4,2011-04,6,183.69338989257812,265.2900085449219,11.5408296585083,102.59619903564453,2.61344051361084,60.400001525878906
2011_5,2011-05,6,186.0478057861328,266.9599914550781,11.122995376586914,103.85623931884766,2.725186347961426,53.5
2011_6,2011-06,6,185.48095703125,266.8699951171875,10.89323616027832,105.8014144897461,3.0459771156311035,55.29999923706055
2011_7,2011-07,6,187.66123962402344,267.67999267578125,10.841387748718262,110.24642944335937,3.1887388229370117,50.900001525878906
2011_8,2011-08,6,189.8975067138672,272.3699951171875,10.771254539489746,115.56208801269531,3.0972182750701904,50.599998474121094
2011_9,2011-09,6,207.00799560546875,285.04998779296875,10.726862907409668,120.76197814941406,2.979942798614502,51.599998474121094
2011_10,2011-10,6,216.5402069091797,296.7900085449219,10.855866432189941,111.83052825927734,2.907639741897583,50.79999923706055
2011_11,2011-11,6.5,228.0540008544922,309.1499938964844,10.694167137145996,99.2430191040039,3.073420524597168,52.70000076293945
2011_12,2011-12,7,230.81417846679687,304.19000244140625,10.714240074157715,87.19144439697266,3.2716927528381348,53.900001525878906
2012_1,2012-01,7,238.14801025390625,307.3299865722656,11.186522483825684,79.80537414550781,4.9147725105285645,54.099998474121094
2012_2,2012-02,7,219.81246948242187,290.67999267578125,11.725090026855469,86.93160247802734,5.423055171966553,52.400001525878906
2012_3,2012-03,7,221.39231872558594,292.260009765625,11.941435813903809,93.04621887207031,5.035161972045898,53.400001525878906
2012_4,2012-04,7,223.9857177734375,294.80999755859375,11.679977416992188,95.13243865966797,5.093758583068848,54.79999923706055
2012_5,2012-05,7,229.6270294189453,293.6700134277344,11.38546371459961,102.82183074951172,4.803127765655518,53.5
2012_6,2012-06,7,234.36851501464844,293.57000732421875,10.997886657714844,101.4644775390625,4.935861587524414,49.70000076293945
2012_7,2012-07,7,232.9752655029297,286.2799987792969,10.727904319763184,97.74564361572266,5.122494220733643,49.79999923706055
2012_8,2012-08,6.75,224.94354248046875,278.92999267578125,10.527091979980469,102.07622528076172,5.11821985244751,49.599998474121094
2012_9,2012-09,6.5,221.07965087890625,284.2200012207031,10.467672348022461,106.81724548339844,5.3422369956970215,51.5
2012_10,2012-10,6.25,217.42715454101563,282.0899963378906,10.487425804138184,104.56024169921875,5.09695291519165,51.70000076293945
2012_11,2012-11,6,220.0343017578125,282.260009765625,10.605278968811035,98.4823989868164,5.080066204071045,49.5
2012_12,2012-12,5.75,217.84434509277344,285.7900085449219,10.625247955322266,102.95600891113281,4.931129455566406,50.70000076293945
2013_1,2013-01,5.5,221.25978088378906,294.010009765625,11.07010269165039,113.73039245605469,3.682642936706543,53.099998474121094
2013_2,2013-02,5.25,219.1256866455078,292.7300109863281,11.479559898376465,121.45175170898437,3.6089415550231934,54.20000076293945
2013_3,2013-03,5,233.73187255859375,303.010009765625,11.60741901397705,118.21942138671875,3.3743975162506104,51.29999923706055
2013_4,2013-04,4.75,229.28758239746094,298.6700134277344,10.866321563720703,102.5760269165039,3.222370147705078,50.70000076293945
2013_5,2013-05,4.5,225.2195281982422,292.3800048828125,10.492696762084961,95.240570068359375,3.250732660293579,49
2013_6,2013-06,4.25,224.2019805908203,295.70001220703125,10.178234100341797,95.17964172363281,3.0294976234436035,50.900001525878906
2013_7,2013-07,4,225.45870971679687,294.8999938964844,10.096076965332031,94.96393585205078,2.833686351776123,55.400001525878906
2013_8,2013-08,3.799999952316284,224.9887237548828,299.4599914550781,9.9654541015625,97.19647979736328,2.963747024536133,55.70000076293945
2013_9,2013-09,3.5999999046325684,224.5654754638672,299.75,9.830000877380371,100.82876586914062,3.4865293502807617,56.20000076293945
2013_10,2013-10,3.4000000953674316,216.178955078125,294.760009765625,9.73020076751709,103.94645690917969,3.4264628887176514,56.400001525878906
2013_11,2013-11,3.200000047683716,220.61810302734375,297.67999267578125,9.232097625732422,107.87759399414062,3.520756721496582,57.29999923706055
2013_12,2013-12,3,219.0893096923828,300.239990234375,9.1234769821167,109.95870208740234,3.570490837097168,57
2014_1,2014-01,2.8499999046325684,222.24835205078125,302.4800109863281,8.78973388671875,106.9454574584961,3.4212589263916016,51.29999923706055
2014_2,2014-02,2.700000047683716,227.11964416503906,310.20001220703125,8.431026458740234,104.46107482910156,2.83337664604187,53.20000076293945
2014_3,2014-03,2.5999999046325684,225.34182739257812,311.489990234375,8.271369934082031,106.46345520019531,2.694300413131714,53.70000076293945
2014_4,2014-04,2.5,222.5383758544922,307.3699951171875,8.06468677520752,107.8446044921875,2.321981430053711,54.900001525878906
2014_5,2014-05,2.4000000953674316,221.80308532714844,304.5799865722656,8.077703475952148,102.09893035888672,2.503225803375244,55.400001525878906
2014_6,2014-06,2.299999952316284,225.0367889404297,305.8699951171875,8.102254867553711,101.69979858398437,2.50193452835083,55.29999923706055
2014_7,2014-07,2.0999999046325684,228.8278350830078,309.80999755859375,8.024493217468262,108.44058227539062,2.5238218307495117,57.099998474121094
2014_8,2014-08,2.0999999046325684,235.7389678955078,313.9100036621094,7.691446304321289,107.22960662841797,2.4415316581726074,59
2014_9,2014-09,2.0999999046325684,242.77188110351562,313.20001220703125,7.398449897766113,101.4488296508789,1.4037774801254272,56.599998474121094
2014_10,2014-10,2.0999999046325684,242.9180145263672,307.8500061035156,7.097197532653809,99.98223876953125,1.4525994062423706,59
2014_11,2014-11,2.0999999046325684,246.0631866455078,306.8900146484375,7.164971351623535,104.81852722167969,1.192893385887146,58.70000076293945
2014_12,2014-12,2.0999999046325684,252.07200622558594,310.8299865722656,7.099999904632568,111.23778533935547,0.8618504405021667,55.5
2015_1,2015-01,2.0999999046325684,272.3517761230469,316.5,7.400000095367432,109.6292495727539,0.7323232293128967,53.5
2015_2,2015-02,2.0999999046325684,270.37884521484375,306.8800048828125,7.699999809265137,102.53370666503906,1.0364004373550415,52.900001525878906
2015_3,2015-03,1.9500000476837158,279.9870910644531,303.45001220703125,7.800000190734863,99.15765380859375,0.9838547110557556,51.5
2015_4,2015-04,1.7999999523162842,277.7901611328125,299.42999267578125,7.599999904632568,103.7234878540039,1.235501766204834,51.5
2015_5,2015-05,1.649999976158142,274.73541259765625,306.3299865722656,7.099999904632568,103.76721954345703,1.2588117122650146,52.79999923706055
2015_6,2015-06,1.5,278.2127990722656,311.9599914550781,6.900000095367432,97.255889892578125,1.2581781148910522,53.5
2015_7,2015-07,1.350000023841858,283.3121032714844,311.5299987792969,6.800000190734863,100.53939819335937,1.2810851335525513,52.70000076293945
2015_8,2015-08,1.350000023841858,279.746826171875,311.6099853515625,6.699999809265137,107.5932846069336,1.1791269779205322,51.099998474121094
2015_9,2015-09,1.350000023841858,279.0660400390625,313.1400146484375,6.400000095367432,109.68363189697266,1.2836647033691406,50.20000076293945
2015_10,2015-10,1.350000023841858,277.0538635253906,311.2699890136719,6.400000095367432,114.14698791503906,1.5071589946746826,50.099998474121094
