DATE,WALCL
2015-01-01,4507150.250000000000
2015-02-01,4496402.250000000000
2015-03-01,4488338.250000000000
2015-04-01,4482355.600000000000
2015-05-01,4479564.000000000000
2015-06-01,4479059.250000000000
2015-07-01,4488001.400000000000
2015-08-01,4484473.000000000000
2015-09-01,4484700.600000000000
2015-10-01,4495400.000000000000
2015-11-01,4486380.750000000000
2015-12-01,4486241.600000000000
2016-01-01,4489872.500000000000
2016-02-01,4485799.500000000000
2016-03-01,4484319.600000000000
2016-04-01,4487148.500000000000
2016-05-01,4472633.250000000000
2016-06-01,4469248.600000000000
2016-07-01,4472069.500000000000
2016-08-01,4466789.000000000000
2016-09-01,4466515.750000000000
2016-10-01,4459703.250000000000
2016-11-01,4454779.200000000000
2016-12-01,4460032.750000000000
2017-01-01,4454801.500000000000
2017-02-01,4458373.750000000000
2017-03-01,4467057.800000000000
2017-04-01,4477134.500000000000
2017-05-01,4468515.800000000000
2017-06-01,4469079.000000000000
2017-07-01,4469040.250000000000
2017-08-01,4462999.400000000000
2017-09-01,4459721.250000000000
2017-10-01,4462669.250000000000
2017-11-01,4450387.000000000000
2017-12-01,4446506.000000000000
2018-01-01,4437893.400000000000
2018-02-01,4415167.250000000000
2018-03-01,4399193.750000000000
2018-04-01,4382144.250000000000
2018-05-01,4343353.000000000000
2018-06-01,4316371.000000000000
2018-07-01,4287565.250000000000
2018-08-01,4238067.800000000000
2018-09-01,4205069.000000000000
2018-10-01,4167971.400000000000
2018-11-01,4122799.000000000000
2018-12-01,4083567.000000000000
2019-01-01,4050343.000000000000
2019-02-01,4002697.750000000000
2019-03-01,3964764.500000000000
2019-04-01,3933098.250000000000
2019-05-01,3871707.000000000000
2019-06-01,3842108.250000000000
2019-07-01,3803776.800000000000
2019-08-01,3773093.250000000000
2019-09-01,3808397.750000000000
2019-10-01,3970156.000000000000
2019-11-01,4042612.250000000000
2019-12-01,4115957.500000000000
2020-01-01,4159312.400000000000
2020-02-01,4169900.750000000000
2020-03-01,4618977.000000000000
2020-04-01,6298340.000000000000
2020-05-01,6947555.250000000000
2020-06-01,7127786.250000000000
2020-07-01,6960429.400000000000
2020-08-01,6975892.250000000000
2020-09-01,7048374.200000000000
2020-10-01,.
