log_total,log_in_year,log_out_year,log_short_term,log_medium_term,log_long_term,i,USD,EUR,u,m2,core_i_yoy,pmi,date,net_hawk_pr,PRnet_positive_baseline_focused,PRnet_positive_baseline,net_hawk_min,MINnet_positive_baseline_focused,MINnet_positive_baseline,mt_cohesion,year,gov,log_total_d,log_in_year_d,log_out_year_d,log_short_term_d,log_medium_term_d,log_long_term_d,i_d,u_d,core_i_yoy_d,USD_d,EUR_d,pmi_d,mt_cohesion_d,net_hawk_min_ln,MINnet_positive_baseline_focused_ln,MINnet_positive_baseline_ln,net_hawk_pr_ln,PRnet_positive_baseline_focused_ln,PRnet_positive_baseline_ln
-1.8625072240829468,-2.0387983322143555,-1.8494397401809692,-2.0387983322143555,-1.7768110036849976,-1.8958766460418701,2.0999999046325684,252.07200622558594,310.8299865722656,7.099999904632568,111.23778533935547,0.8618504405021667,55.5,2014-12-16,0.9870666147253604,0.9896507115135834,0.9920289855072464,0.9713993227813214,0.9921671018276762,0.9911141490088858,1,2014,matolcsy,0.024456501007080078,-0.09716963768005371,0.06168234348297119,-0.09716963768005371,0.07719457149505615,0.051146626472473145,0,-0.0649714469909668,-0.33104294538497925,6.008819580078125,3.939971923828125,-3.200000762939453,0,-0.02901764622811533,-0.007863736460214576,-0.008925565605504239,-0.013017749703187469,-0.010403214760886152,-0.008002952862801479
-2.215573310852051,-1.9535506963729858,-2.3728880882263184,-1.9535506963729858,-2.0091054439544678,-2.651707172393799,2.0999999046325684,272.3517761230469,316.5,7.400000095367432,109.6292495727539,0.7323232293128967,53.5,2015-01-27,0.9814814814814815,0.9820143884892086,0.9862433862433863,0.9814814814814815,0.984822934232715,0.9898305084745763,1,2015,matolcsy,-0.353066086769104,0.08524763584136963,-0.5234483480453491,0.08524763584136963,-0.23229444026947021,-0.7558305263519287,0,0.3000001907348633,-0.12952721118927002,20.279769897460937,5.670013427734375,-2,0,-0.01869213301215252,-0.01529341616949835,-0.010221554071538028,-0.01869213301215252,-0.018149318505677334,-0.013852112808151558
-2.1768507957458496,-1.9719451665878296,-2.3052289485931396,-1.9719451665878296,-2.02569842338562,-2.5022480487823486,2.0999999046325684,270.37884521484375,306.8800048828125,7.699999809265137,102.53370666503906,1.0364004373550415,52.900001525878906,2015-02-24,1,0.981859410430839,0.9863945578231292,1.002267573696145,0.9820224719101124,0.9872340425531915,1,2015,matolcsy,0.03872251510620117,-0.01839447021484375,0.06765913963317871,-0.01839447021484375,-0.016592979431152344,0.1494591236114502,0,0.2999997138977051,0.3040772080421448,-1.972930908203125,-9.6199951171875,-0.59999847412109375,0,0.0022650066308520615,-0.018141087070650038,-0.012848142477849024,0,-0.018307147444356128,-0.013698844358161915
-2.0607383251190186,-1.9843990802764893,-2.1324334144592285,-1.9843990802764893,-1.9906342029571533,-2.2215871810913086,1.9500000476837158,279.9870910644531,303.45001220703125,7.800000190734863,99.15765380859375,0.9838547110557556,51.5,2015-03-24,1.0027855153203342,1,1.0123893805309734,0.974507927829415,0.9939148073022313,0.9941520467836258,1,2015,matolcsy,0.11611247062683105,-0.012453913688659668,0.17279553413391113,-0.012453913688659668,0.0350642204284668,0.28066086769104004,-0.14999985694885254,0.10000038146972656,-0.05254572629928589,9.608245849609375,-3.42999267578125,-1.4000015258789062,0,-0.025822624788582504,-0.006103782938017799,-0.005865119452398022,0.0027816429618767705,0,0.012313260233356887
-1.9885773658752441,-2.035385847091675,-2.0145397186279297,-2.035385847091675,-1.9979225397109985,-2.0256099700927734,1.7999999523162842,277.7901611328125,299.42999267578125,7.599999904632568,103.7234878540039,1.235501766204834,51.5,2015-04-21,0.9661740558292282,0.9885844748858448,0.988,0.9672429481346679,0.9915611814345991,0.9921259842519685,1,2015,matolcsy,0.07216095924377441,-0.05098676681518555,0.11789369583129883,-0.05098676681518555,-0.007288336753845215,0.19597721099853516,-0.15000009536743164,-0.20000028610229492,0.25164705514907837,-2.196929931640625,-4.02001953125,0,0,-0.03330557606167338,-0.008474626990972232,-0.007905179507113261,-0.0344112789826146,-0.011481182373956254,-0.012072581234269249
-2.0686826705932617,-2.1684951782226562,-2.0770015716552734,-2.1684951782226562,-2.028106451034546,-2.1070144176483154,1.649999976158142,274.73541259765625,306.3299865722656,7.099999904632568,103.76721954345703,1.2588117122650146,52.79999923706055,2015-05-26,0.9659249704396431,0.9842696629213483,0.9842615012106537,0.968160045083122,0.9843137254901961,0.9871559633027522,1,2015,matolcsy,-0.08010530471801758,-0.13310933113098145,-0.06246185302734375,-0.13310933113098145,-0.030183911323547363,-0.08140444755554199,-0.1499999761581421,-0.5,0.023309946060180664,-3.05474853515625,6.899993896484375,1.2999992370605469,0,-0.03235786954235045,-0.015810606026642204,-0.012927234501459717,-0.03466911813845341,-0.015855371789794077,-0.01586366397316753
-1.991377353668213,-2.4086570739746094,-1.9156490564346313,-2.4086570739746094,-2.2051820755004883,-1.786190152168274,1.5,278.2127990722656,311.9599914550781,6.900000095367432,97.255889892578125,1.2581781148910522,53.5,2015-06-23,0.9895078502415459,1.0086805555555556,0.9961919268849961,0.9818139963167587,1.0069060773480663,0.9944717444717445,1,2015,matolcsy,0.07730531692504883,-0.24016189575195313,0.1613525152206421,-0.24016189575195313,-0.17707562446594238,0.3208242654800415,-0.1499999761581421,-0.19999980926513672,-6.335973739624023e-4,3.477386474609375,5.6300048828125,0.7000007629394531,0,-0.018353401687991926,0.006882339622941738,-0.005543592884850481,-0.010547580427231735,0.008643096156020014,-0.0038153422856522312
-2.0727031230926514,-2.5462682247161865,-1.9851295948028564,-2.5462682247161865,-2.206622362136841,-1.8817493915557861,1.350000023841858,283.3121032714844,311.5299987792969,6.800000190734863,100.53939819335937,1.2810851335525513,52.70000076293945,2015-07-21,0.9647266313932981,0.9884726224783862,0.9878706199460916,0.9774072863317714,0.9891540130151844,0.990645463049579,0.8888888888888888,2015,matolcsy,-0.08132576942443848,-0.13761115074157715,-0.0694805383682251,-0.13761115074157715,-0.001440286636352539,-0.09555923938751221,-0.1499999761581421,-0.09999990463256836,0.022907018661499023,5.09930419921875,-0.42999267578125,-0.7999992370605469,-0.11111111111111116,-0.0228518393633811,-0.010905233482262468,-0.009398565423638802,-0.035910501305770864,-0.011594332780919257,-0.012203541280729003
-2.1881051063537598,-2.765268564224243,-2.0801072120666504,-2.765268564224243,-2.339953899383545,-1.9608051776885986,1.350000023841858,279.746826171875,311.6099853515625,6.699999809265137,107.5932846069336,1.1791269779205322,51.099998474121094,2015-08-25,0.99382215007215,0.9888888888888889,0.9864661654135338,0.9892329892329892,0.990909090909091,0.9890230515916575,1,2015,matolcsy,-0.1154019832611084,-0.21900033950805664,-0.09497761726379395,-0.21900033950805664,-0.1333315372467041,-0.0790557861328125,0,-0.10000038146972656,-0.10195815563201904,-3.565277099609375,0.079986572265625,-1.6000022888183594,0.11111111111111116,-0.01082539448437475,-0.009132483563272474,-0.011037639651620438,-0.006197011802938368,-0.011173300598125189,-0.01362625171176511
-2.4901793003082275,-3.3249032497406006,-2.3397467136383057,-3.3249032497406006,-2.7557621002197266,-2.163618326187134,1.350000023841858,279.0660400390625,313.1400146484375,6.400000095367432,109.68363189697266,1.2836647033691406,50.20000076293945,2015-09-22,1.0437196611567625,0.9973509933774835,0.9943859649122807,1.0368612561303592,1,0.9972647702407003,1,2015,matolcsy,-0.3020741939544678,-0.5596346855163574,-0.2596395015716553,-0.5596346855163574,-0.41580820083618164,-0.20281314849853516,0,-0.2999997138977051,0.1045377254486084,-0.6807861328125,1.530029296875,-0.8999977111816406,0,0.036198126786461234,0,-0.002738977335432239,0.04279092960527265,-0.002652521449131117,-0.005629853012070459
