id_pr,date,net_hawk_pr,lm_baseline,net_hawk_agh
pr_120,2014-12-16,1.1101060936799478,0.9920289855072464,0.9507575757575758
pr_121,2015-01-27,0.9770565107407213,0.9862433862433863,0.9614718614718615
pr_122,2015-02-24,1.0166795266137372,0.9863945578231292,0.9570075757575758
pr_123,2015-03-24,0.9778102628760523,1.0123893805309734,0.9285714285714286
pr_124,2015-04-21,1.4002566274305406,0.988,1.1267857142857143
pr_125,2015-05-26,1.509757220401898,0.9842615012106537,1.1220238095238095
pr_126,2015-06-23,1.6398241442939585,0.9961919268849961,1.1223776223776223
pr_127,2015-07-21,1.5689472363385406,0.9878706199460916,1.174404761904762
pr_128,2015-08-25,1.2832443244496705,0.9864661654135338,1.045995670995671
pr_129,2015-09-22,1.431782897335223,0.9943859649122807,0.9658119658119658
pr_130,2015-10-20,1.4322299922299924,0.9901153212520593,1.0867424242424242
pr_131,2015-11-17,1.3814890282131662,0.9830769230769231,0.961111111111111
pr_132,2015-12-15,1.0686674436674437,0.9839307787391842,0.8776223776223776
pr_133,2016-01-26,0.8581945831945832,0.9814356435643564,0.8957219251336899
pr_134,2016-02-23,0.9026390276390276,0.9876237623762376,0.9444444444444444
pr_135,2016-03-22,0.8583333333333333,0.9832335329341317,0.9880952380952381
pr_136,2016-04-26,0.7085757379875027,0.9807162534435262,0.9791666666666667
pr_137,2016-05-24,1.0888927738927738,0.9861495844875346,1.0833333333333333
pr_138,2016-06-21,1.4922573015220073,0.9857142857142858,1.0666666666666667
pr_139,2016-07-26,1.408144959615548,0.9866131191432397,1.0625
pr_140,2016-08-23,1.5727691426220838,0.9917582417582418,1.1180555555555556
pr_141,2016-09-20,1.7212179160708572,0.9881720430107527,1.075
pr_142,2016-10-25,1.7911565448330153,0.994061757719715,1.0769230769230769
pr_143,2016-11-22,1.502931627196333,0.9936467598475223,1
pr_144,2016-12-20,2.0318375524257877,0.9966178128523112,1
pr_145,2017-01-24,1.8385415317341312,0.9957850368809273,1
pr_146,2017-02-28,1.7384970092631384,0.9989451476793249,1
pr_147,2017-03-28,1.9625779967159278,1.00278293135436,1.0769230769230769
pr_148,2017-04-25,1.4824625566004876,0.9980314960629921,1.0833333333333333
pr_149,2017-05-23,1.8102351839193944,1.0028818443804035,1.0909090909090908
pr_150,2017-06-20,1.7759131684054283,1.0016326530612245,1.2409090909090907
pr_151,2017-07-28,2.0229560830180024,1.0026857654431514,1.1254901960784314
pr_152,2017-08-22,2.0465932606245674,1.005089058524173,1.1254901960784314
pr_153,2017-09-19,1.652689950595961,0.9971883786316776,1.1916666666666667
pr_154,2017-10-24,1.5730645035792095,1.000935453695042,1.1916666666666667
pr_155,2017-11-21,1.7981399112633127,0.9982698961937716,1.2333333333333334
pr_156,2017-12-19,2.1468079700706904,1.0015698587127158,1.2333333333333334
pr_157,2018-01-30,2.2254751648134,1.0044762757385854,1.2666666666666666
pr_158,2018-02-27,1.954479493817729,1.0058479532163742,1.2666666666666666
pr_159,2018-03-27,2.183058656742867,1.0042265426880812,1.2666666666666666
pr_160,2018-04-24,2.1257398919163624,1.0024077046548956,1.1916666666666667
pr_161,2018-05-22,1.9624579124579125,0.9984709480122325,1.1777777777777778
pr_162,2018-06-19,3.1170243784581353,1.0062464508801816,1.3722222222222222
pr_163,2018-07-24,2.3927974015435316,1,1.2222222222222223
pr_164,2018-08-21,2.333973872131767,1,1.2222222222222223
pr_165,2018-09-18,2.0115481292900648,0.9992169146436962,1.2
pr_166,2018-10-16,2.2047498836760298,1.0025619128949617,1.2
pr_167,2018-11-20,1.5532412032412033,1.000956937799043,1.0523809523809524
pr_168,2018-12-18,2.285274373253913,0.9919928825622776,0.9575396825396826
pr_169,2019-01-29,2.32208201006155,0.9907407407407407,0.9486111111111111
pr_170,2019-02-26,2.8040340621374407,0.9991023339317774,1.0829248366013071
pr_171,2019-03-26,1.8083382475797336,0.9979716024340771,0.9833333333333334
pr_172,2019-04-30,2.040979770380859,1.0024783147459728,0.9333333333333333
pr_173,2019-05-28,1.3895989974937344,0.9974126778783958,0.85
pr_174,2019-06-25,1.4408150621308513,1.0032232070910556,0.8852472089314195
pr_175,2019-07-23,1.2260137085137086,1.0015961691939346,0.8852472089314195
pr_176,2019-08-27,0.6821571565689213,0.9984189723320158,0.9378787878787879
pr_177,2019-09-24,0.797854922854923,0.9948849104859335,0.9356351981351981
pr_178,2019-10-22,0.7954073704073705,0.9920424403183024,0.9356351981351981
pr_179,2019-11-19,1.046554834054834,1.000871839581517,0.9951248313090418
pr_180,2019-12-17,2.6423667835432543,0.9983552631578947,1.0666666666666667
