date_match,log_total,log_in_year,log_out_year,log_short_term,log_medium_term,log_long_term,total_resc,in_year_resc,out_year_resc,short_term_resc,medium_term_resc,long_term_resc,r3m,r6m,r1y,r3y,r5y,r10y,r15y
2008-05,-0.3526681813359574,-0.29297990393682505,-0.42440782185397513,-0.29297990393682505,-0.3157204123522121,-0.49985891148866896,0.7028103602853614,0.746037132955933,0.6541570479621086,0.746037132955933,0.7292633146820657,0.6066162402575628,8.65,8.7,8.88,9.1,8.87,8.1,7.85
2008-06,-0.3079281976524347,-0.2713982126974518,-0.37065219703251706,-0.2713982126974518,-0.2735375422783977,-0.43849939136309685,0.7349680885486651,0.7623128732902127,0.6902839826304356,0.7623128732902127,0.760683778017628,0.6450035931910162,8.85,8.88,9.18,9.55,9.25,8.5,8.24
2008-07,-0.39548151994159264,-0.3179663698121202,-0.47430474272710565,-0.3179663698121202,-0.3573115235454561,-0.5551770801370356,0.6733557269633991,0.7276272582445319,0.6223175769125023,0.7276272582445319,0.6995545360769609,0.5739706134019233,8.47,8.45,8.58,8.69,8.41,7.81,7.57
2008-08,-0.3850386407971723,-0.3086083513805086,-0.4634106573661231,-0.3086083513805086,-0.35118131484307535,-0.5411534809235522,0.680424343557556,0.7344683672261483,0.6291342208503967,0.7344683672261483,0.703856122722822,0.5820764509112157,8.48,8.6,8.57,8.8,8.52,7.93,7.6
2008-09,-0.32029653937787217,-0.2658063642382189,-0.3901233489341666,-0.2658063642382189,-0.27161576666501136,-0.47251619163522723,0.7259337372140156,0.7665875518950032,0.6769733654048099,0.7665875518950032,0.7621470471388293,0.6234316196583918,8.85,8.98,9.1,9.66,9.27,8.17,7.95
2008-10,-0.07581008359683027,0,-0.15488130437142403,0,0,-0.2640730945721768,0.9269922408751043,1,0.8565168362545335,1,1,0.7679174070109027,11.62,11.66,11.8,12.66,12.02,9.79,8.39
2008-11,-0.17491458128039258,-0.0792902599487962,-0.26182553653770974,-0.0792902599487962,-0.1223016064132619,-0.3595545010482564,0.8395287291756635,0.9237717515857348,0.7696452869767192,0.9237717515857348,0.8848814423333441,0.697987209386906,10.75,10.75,10.66,11.05,10.94,8.86,8.13
2008-12,-0.3225161256127786,-0.2568867845817173,-0.39674941284241627,-0.2568867845817173,-0.28473483940777494,-0.4749731661494671,0.7243242515403338,0.773455775927857,0.6725025250160964,0.773455775927857,0.7522136853038701,0.6219017442595718,9.03,8.96,8.95,9.57,9.43,8.28,7.7
2009-01,-0.20312133545492383,-0.22045712395211953,-0.24573256925094353,-0.22045712395211953,-0.20834977467598081,-0.27647915125682254,0.8161792039423427,0.8021520312332188,0.7821313629355139,0.8021520312332188,0.8119229969366998,0.7584494316842483,9.38,9.28,9.42,10.52,10.49,9.66,9.33
2009-02,-0.055537481752993806,-0.09804382666015296,-0.08985014135567153,-0.09804382666015296,-0.013997407558016699,-0.14473404693387876,0.9459765661459435,0.9066091692312601,0.9140681560225317,0.9066091692312601,0.9861001006668489,0.8652523790365299,10.35,10.75,11.32,12.79,11.97,10.85,10.05
2009-03,0,-0.14790704246512493,0,-0.14790704246512493,-0.01685863048714736,0,1,0.8625112881387836,1,0.8625112881387836,0.9832826810033636,1,9.92,10.15,11.05,12.98,12.98,12.25,11.65
2009-04,-0.1661313219485848,-0.2146044253243064,-0.19775653989641243,-0.2146044253243064,-0.1855002656040471,-0.2132788728478917,0.8469350057309133,0.8068605506578097,0.8205696047820474,0.8068605506578097,0.8306886149466353,0.8079307958352184,9.42,9.35,10.02,10.39,10.45,10.26,10.13
2009-05,-0.20342565921991268,-0.22904620659833105,-0.24281803380957456,-0.22904620659833105,-0.23656668142030218,-0.2549100183404037,0.8159308590046432,0.795291784928025,0.7844142376562436,0.795291784928025,0.7893332466850989,0.7749862293708429,9.25,9.25,9.38,10.03,10.05,9.97,9.8
